YYYY,MMM,DFF
2010,3,0.09
2010,4,0.2
2010,5,0.19
2010,6,0.09
2010,7,0.18
2010,8,0.21
2010,9,0.15
2010,10,0.2
2010,11,0.2
2010,12,0.13
2011,1,0.17
2011,2,0.16
2011,3,0.1
2011,4,0.09
2011,5,0.1
2011,6,0.07
2011,7,0.11
2011,8,0.08
2011,9,0.06
2011,10,0.09
2011,11,0.1
2011,12,0.04
2012,1,0.11
2012,2,0.1
2012,3,0.09
2012,4,0.16
2012,5,0.16
2012,6,0.09
2012,7,0.13
2012,8,0.13
2012,9,0.09
2012,10,0.18
2012,11,0.16
2012,12,0.09
2013,1,0.15
2013,2,0.14
2013,3,0.09
2013,4,0.14
2013,5,0.09
2013,6,0.07
2013,7,0.09
2013,8,0.07
2013,9,0.06
2013,10,0.07
2013,11,0.07
2013,12,0.07
2014,1,0.07
2014,2,0.06
2014,3,0.06
2014,4,0.09
2014,5,0.08
2014,6,0.09
2014,7,0.08
2014,8,0.07
2014,9,0.07
2014,10,0.07
2014,11,0.08
2014,12,0.06
2015,1,0.06
2015,2,0.06
2015,3,0.06
2015,4,0.08
2015,5,0.08
2015,6,0.08
2015,7,0.08
2015,8,0.08
2015,9,0.07
2015,10,0.07
2015,11,0.08
2015,12,0.2
2016,1,0.29
2016,2,0.29
2016,3,0.25
2016,4,0.3
2016,5,0.29
2016,6,0.3
2016,7,0.3
2016,8,0.3
2016,9,0.29
2016,10,0.31
2016,11,0.31
2016,12,0.55
2017,1,0.56
2017,2,0.57
2017,3,0.82
2017,4,0.83
2017,5,0.83
2017,6,1.06
2017,7,1.07
2017,8,1.07
2017,9,1.06
2017,10,1.07
2017,11,1.07
2017,12,1.33
2018,1,1.34
2018,2,1.35
2018,3,1.67
2018,4,1.69
2018,5,1.7
2018,6,1.91
2018,7,1.91
2018,8,1.91
2018,9,2.18
2018,10,2.2
2018,11,2.2
2018,12,2.4
2019,1,2.4
2019,2,2.4
2019,3,2.43
2019,4,2.45
2019,5,2.4
2019,6,2.4
2019,7,2.4
2019,8,2.13
2019,9,1.9
2019,10,1.58
2019,11,1.56
2019,12,1.55
2020,1,1.59
2020,2,1.58
2020,3,0.08
2020,4,0.05
2020,5,0.05
2020,6,0.08
2020,7,0.1
2020,8,0.09
2020,9,0.09
2020,10,0.09
2020,11,0.09
2020,12,0.09
2021,1,0.07
2021,2,0.07
2021,3,0.06
2021,4,0.05
2021,5,0.05
2021,6,0.08
2021,7,0.07
2021,8,0.06
2021,9,0.06
2021,10,0.07
2021,11,0.07
2021,12,0.07
2022,1,0.08
2022,2,0.08
2022,3,0.33
2022,4,0.33
2022,5,0.83
2022,6,1.58
2022,7,2.32
2022,8,2.33
2022,9,3.08
2022,10,3.08
2022,11,3.83
2022,12,4.33
2023,1,4.33
2023,2,4.57
2023,3,4.83
2023,4,4.83
2023,5,5.08
2023,6,5.08
2023,7,5.33
2023,8,5.33
2023,9,5.33
2023,10,5.33
2023,11,5.33
